Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité
2025/05/04 00:00:00,2025/05/04 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,13.1,13.125,µg-m3,,,,A,1
2025/05/04 01:00:00,2025/05/04 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,10.8,10.75,µg-m3,,,,A,1
2025/05/04 02:00:00,2025/05/04 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,11.0,10.975,µg-m3,,,,A,1
2025/05/04 03:00:00,2025/05/04 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,10.7,10.725,µg-m3,,,,A,1
2025/05/04 04:00:00,2025/05/04 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,15.8,15.775,µg-m3,,,,A,1
2025/05/04 05:00:00,2025/05/04 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,16.2,16.15,µg-m3,,,,A,1
2025/05/04 06:00:00,2025/05/04 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,15.3,15.25,µg-m3,,,,A,1
2025/05/04 07:00:00,2025/05/04 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,10.0,9.95,µg-m3,,,,A,1
2025/05/04 08:00:00,2025/05/04 09:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,10.0,9.975,µg-m3,,,,A,1
2025/05/04 09:00:00,2025/05/04 10:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM10,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,7.6,7.55,µg-m3,,,,A,1
