Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité
2019/05/08 17:00:00,2019/05/08 18:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,10.0,10.0,µg-m3,,,,A,1
2019/05/08 18:00:00,2019/05/08 19:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,15.7,15.7,µg-m3,,,,A,1
2019/05/08 19:00:00,2019/05/08 20:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,16.9,16.85,µg-m3,,,,A,1
2019/05/08 20:00:00,2019/05/08 21:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,14.7,14.675,µg-m3,,,,A,1
2019/05/08 21:00:00,2019/05/08 22:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,14.9,14.9,µg-m3,,,,A,1
2019/05/08 22:00:00,2019/05/08 23:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,10.6,10.6,µg-m3,,,,A,1
2019/05/08 23:00:00,2019/05/09 00:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11007,Lille Leeds,Urbaine,NO2,Trafic,1,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.6,8.625,µg-m3,,,,A,1
2019/05/08 00:00:00,2019/05/08 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,10.5,10.45,µg-m3,,,,A,1
2019/05/08 01:00:00,2019/05/08 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,10.6,10.63333,µg-m3,,,,R,1
2019/05/08 02:00:00,2019/05/08 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11025,Lille Fives,Urbaine,NO2,Fond,,Oui,mesures fixes,Auto NO2_NOx Conf meth CHIMILU,moyenne horaire validée,8.3,8.33333,µg-m3,,,,R,1
