Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité
2025/05/04 01:00:00;2025/05/04 02:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 02:00:00;2025/05/04 03:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 03:00:00;2025/05/04 04:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 04:00:00;2025/05/04 05:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 05:00:00;2025/05/04 06:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 06:00:00;2025/05/04 07:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 07:00:00;2025/05/04 08:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 08:00:00;2025/05/04 09:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 09:00:00;2025/05/04 10:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 10:00:00;2025/05/04 11:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 11:00:00;2025/05/04 12:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 12:00:00;2025/05/04 13:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
2025/05/04 13:00:00;2025/05/04 14:00:00;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10012;Mardyck;Périurbaine;C6H6;Industrielle;;Oui;estimation objective;Auto benzene_meth PID;moyenne horaire brute;;;µg-m3;;;;N;-1
