Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité
2025/05/04 00:00:00,2025/05/04 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,4.0,3.975,µg-m3,,,,A,1
2025/05/04 01:00:00,2025/05/04 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,6.2,6.175,µg-m3,,,,A,1
2025/05/04 02:00:00,2025/05/04 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,3.8,3.775,µg-m3,,,,A,1
2025/05/04 03:00:00,2025/05/04 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,2.2,2.175,µg-m3,,,,A,1
2025/05/04 04:00:00,2025/05/04 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,6.7,6.65,µg-m3,,,,A,1
2025/05/04 05:00:00,2025/05/04 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,4.8,4.825,µg-m3,,,,A,1
2025/05/04 06:00:00,2025/05/04 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,5.3,5.25,µg-m3,,,,A,1
2025/05/04 07:00:00,2025/05/04 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,2.4,2.425,µg-m3,,,,A,1
2025/05/04 08:00:00,2025/05/04 09:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,1.7,1.725,µg-m3,,,,A,1
2025/05/04 09:00:00,2025/05/04 10:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11034,Roubaix Serres,Urbaine,PM2.5,Trafic,0,Oui,mesures fixes,Auto PM_Conf_app TEOM-FDMS 8500bc,moyenne horaire brute,3.2,3.2,µg-m3,,,,A,1
