Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,discriminant,Réglementaire,type d'évaluation,procédure de mesure,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité
2025/05/04 00:00:00,2025/05/04 01:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,67.1,67.1,µg-m3,,,,A,1
2025/05/04 01:00:00,2025/05/04 02:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,70.6,70.575,µg-m3,,,,A,1
2025/05/04 02:00:00,2025/05/04 03:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,71.4,71.35,µg-m3,,,,A,1
2025/05/04 03:00:00,2025/05/04 04:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,67.1,67.1,µg-m3,,,,A,1
2025/05/04 04:00:00,2025/05/04 05:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,67.9,67.85,µg-m3,,,,A,1
2025/05/04 05:00:00,2025/05/04 06:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,69.1,69.1,µg-m3,,,,A,1
2025/05/04 06:00:00,2025/05/04 07:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,71.8,71.8,µg-m3,,,,A,1
2025/05/04 07:00:00,2025/05/04 08:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,74.9,74.875,µg-m3,,,,A,1
2025/05/04 08:00:00,2025/05/04 09:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,77.8,77.825,µg-m3,,,,A,1
2025/05/04 09:00:00,2025/05/04 10:00:00,ATMO HAUTS DE FRANCE,FR32ZAG02,ZAG LILLE,FR11038,Tourcoing Houpline,Urbaine,O3,Fond,1,Oui,mesures fixes,Auto O3 Conf meth PHOTO UV,moyenne horaire brute,81.8,81.825,µg-m3,,,,A,1
